Participant,n_training_sessions,Group,Stabilize_By_Threshold_Session,Stabilize_By_Threshold_Session_Num,Stabilize_By_Threshold_Value,Stabilize_By_Slope_Session_Num,Stabilize_By_Slope_Value,Stabilize_By_Slope_Session
P001,9,Sham,T09,9,0.43821310902044824,,,
P002,10,Sham,T07,7,0.320496689115495,5.0,-0.02197352561429086,T05
P003,10,Sham,T09,9,1.4603305166592029,7.0,-0.12387931129603778,T07
P004,10,tRNS,T07,7,1.3026850940374255,7.0,-0.48954100751336865,T07
P005,10,tRNS,T10,10,1.359993784407961,,,
P006,10,Sham,T09,9,0.5061629924934835,9.0,-0.5562716844384363,T09
P007,10,Sham,T03,3,0.32996469018547164,,,
P008,10,tRNS,T07,7,0.640219702652625,5.0,-0.04867055673669989,T05
P009,10,tRNS,T06,6,0.9579733042046182,,,
P011,10,tRNS,T10,10,0.3144308585714131,,,
P012,10,Sham,T08,8,0.7582007168952053,7.0,-0.2776837211309504,T07
P013,10,Sham,T07,7,1.0415333407725758,9.0,-0.4157244230909909,T09
P014,10,Sham,T09,9,0.6148060142635883,,,
P015,10,tRNS,T08,8,1.515677094960304,8.0,-0.8756380847170284,T08
P016,10,tRNS,T09,9,-0.3891105274143771,9.0,-1.5619368048440712,T09
P017,10,Sham,T06,6,0.9997233122642379,3.0,-0.059421603688435604,T03
P018,10,Sham,T08,8,0.7563348742201591,6.0,-0.0760843172114613,T06
P019,10,Sham,T09,9,0.8582183564244565,,,
P020,10,tRNS,T10,10,1.2132007696149245,,,
P021,10,Sham,T04,4,0.7421655299524738,3.0,-0.05278848627041033,T03
P022,10,tRNS,T10,10,1.253296655661021,,,
P023,10,tRNS,T08,8,0.05503819960452011,8.0,-0.1343086039574462,T08
P024,10,tRNS,T09,9,1.309827434125357,9.0,-1.4051761266355445,T09
P025,10,tRNS,T08,8,0.19892328763020162,8.0,-0.19937724376571017,T08
P026,10,tRNS,T08,8,0.47249636034085407,8.0,-1.2106825447508045,T08
P027,10,Sham,T04,4,0.3592216228676955,,,
P028,10,Sham,T10,10,0.9748476587309723,,,
P029,10,tRNS,T06,6,0.8661350840135233,6.0,-0.24287324311924546,T06
P030,10,tRNS,T07,7,0.7676601554516773,7.0,-0.06695100573390116,T07
P031,10,Sham,T09,9,1.3966789025580957,9.0,-0.37988125713923976,T09
