Label,P_value,P_adj_FDR,Included_in_FDR,Significant_after_FDR
MATB_cov_mixedlm_Intercept,5.905138098602533e-08,1.8896441915528105e-07,True,True
MATB_cov_mixedlm_Session[T.E2],1.0011347275063427e-27,4.004538910025371e-27,True,True
MATB_cov_mixedlm_Session[T.E3],4.0094057897466063e-29,2.1383497545315235e-28,True,True
MATB_cov_mixedlm_Group[T.tRNS],0.4212556245044423,0.5184684609285444,True,False
MATB_cov_mixedlm_Session[T.E2]:Group[T.tRNS],0.9727868626867616,0.9727868626867616,True,False
MATB_cov_mixedlm_Session[T.E3]:Group[T.tRNS],0.16656791149059103,0.22209054865412137,True,False
MATB_cov_mixedlm_VGexp,0.007609421253763032,0.015218842507526064,True,True
MATB_cov_mixedlm_Group Var,0.017344605757071047,0.027751369211313676,True,True
SF_cov_mixedlm_Intercept,1.1126435553319991e-07,2.967049480885331e-07,True,True
SF_cov_mixedlm_Session[T.E2],6.027317413238569e-41,4.821853930590855e-40,True,True
SF_cov_mixedlm_Session[T.E3],5.061215258195884e-41,4.821853930590855e-40,True,True
SF_cov_mixedlm_Group[T.tRNS],0.9692392211140727,0.9727868626867616,True,False
SF_cov_mixedlm_Session[T.E2]:Group[T.tRNS],0.5145080696006599,0.5880092224007542,True,False
SF_cov_mixedlm_Session[T.E3]:Group[T.tRNS],0.1618239132583713,0.22209054865412137,True,False
SF_cov_mixedlm_VGexp,0.0007912685758723816,0.001808613887708301,True,True
SF_cov_mixedlm_Group Var,0.010061575397258632,0.01788724515068201,True,True
