Multiple comparisons adjustment (Benjamini-Hochberg FDR) (MATB & SF covariate MixedLMs)
Generated by script: SF_MATB_Trained_Tasks_Analysis.py
Analysis date: 2026-09-21 16:24:40

Total p-values collected for models: 16 (finite: 16)

Label                                                        p-value    p-adj (FDR)  Included  Significant
-----------------------------------------------------------------------------------------------
MATB_cov_mixedlm_Intercept                                   5.905e-08  1.89e-07     Yes             Yes
MATB_cov_mixedlm_Session[T.E2]                               1.001e-27  4.005e-27    Yes             Yes
MATB_cov_mixedlm_Session[T.E3]                               4.009e-29  2.138e-28    Yes             Yes
MATB_cov_mixedlm_Group[T.tRNS]                               0.4213     0.5185       Yes              No
MATB_cov_mixedlm_Session[T.E2]:Group[T.tRNS]                 0.9728     0.9728       Yes              No
MATB_cov_mixedlm_Session[T.E3]:Group[T.tRNS]                 0.1666     0.2221       Yes              No
MATB_cov_mixedlm_VGexp                                       0.007609   0.01522      Yes             Yes
MATB_cov_mixedlm_Group Var                                   0.01734    0.02775      Yes             Yes
SF_cov_mixedlm_Intercept                                     1.113e-07  2.967e-07    Yes             Yes
SF_cov_mixedlm_Session[T.E2]                                 6.027e-41  4.822e-40    Yes             Yes
SF_cov_mixedlm_Session[T.E3]                                 5.061e-41  4.822e-40    Yes             Yes
SF_cov_mixedlm_Group[T.tRNS]                                 0.9692     0.9728       Yes              No
SF_cov_mixedlm_Session[T.E2]:Group[T.tRNS]                   0.5145     0.588        Yes              No
SF_cov_mixedlm_Session[T.E3]:Group[T.tRNS]                   0.1618     0.2221       Yes              No
SF_cov_mixedlm_VGexp                                         0.0007913  0.001809     Yes             Yes
SF_cov_mixedlm_Group Var                                     0.01006    0.01789      Yes             Yes
