Label,P_value,P_adj_FDR,Included_in_FDR,Significant_after_FDR
TLX_base_Intercept,1.1053424658743541e-79,1.326410959049225e-78,True,True
TLX_base_Session[T.E2],7.936414378038084e-07,3.1745657512152336e-06,True,True
TLX_base_Session[T.E3],4.6644565045209075e-08,2.7986739027125445e-07,True,True
TLX_base_Group[T.tRNS],0.9953021787540027,0.9953021787540027,True,False
TLX_base_Session[T.E2]:Group[T.tRNS],0.5258014615815292,0.630961753897835,True,False
TLX_base_Session[T.E3]:Group[T.tRNS],0.3469124825159585,0.4625499766879447,True,False
Oddball_base_Intercept,1.8543733140028951e-06,5.563119942008685e-06,True,True
Oddball_base_Session[T.E2],0.791213423972423,0.8631419170608251,True,False
Oddball_base_Session[T.E3],0.02096665553003952,0.050319973272094844,True,False
Oddball_base_Group[T.tRNS],0.05678358171364722,0.11356716342729443,True,False
Oddball_base_Session[T.E2]:Group[T.tRNS],0.147371982891172,0.22105797433675803,True,False
Oddball_base_Session[T.E3]:Group[T.tRNS],0.11462502532435637,0.19650004341318233,True,False
