Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore
P001,E1,1.0,3.06,4.3,67.07,1.0,B,1.4011829736136414,1.667706820558076,4.22053658745986,-1.4011829736136414,-1.667706820558076,-4.22053658745986,-0.34434393320272816,-1.5156037536713263,1.5662837310833875,-0.09788798526355569,0022-09-26 14:31:38,8.0,2290.0,-150.0,250.0,940.0,1250.0,14.0,20.0,28.5714285714286,85.0,61.0,1.0,B,-0.837199728316818
P001,E2,3.0,1.87,2.85,183.42,12.0,B,1.0543120297715298,1.3480731482996928,5.217215765110995,-1.0543120297715298,-1.3480731482996928,-5.217215765110995,0.5785852979934267,0.25995734991274105,-0.21180646345309964,0.20891206148435604,0022-11-08 10:33:27,4.0,5600.0,-150.0,700.0,1050.0,4000.0,12.0,21.0,83.3333333333333,95.2380952380952,197.0,12.0,B,0.658179336852042
P001,E3,1.0,1.51,2.77,148.51,13.0,B,0.9202827531436925,1.3270750014599193,5.007363280225836,-0.9202827531436925,-1.3270750014599193,-5.007363280225836,0.93520074656848,0.37660179638992447,0.16257343134191948,0.4914586581001079,0022-12-19 10:47:47,2.0,5790.0,-100.0,800.0,1090.0,4000.0,14.0,21.0,78.5714285714286,95.2380952380952,200.0,13.0,B,0.74401680584965
P001,T01,9.0,4.52,3.19,215.96,2.0,B,1.7083778602890038,1.4327007339340463,5.3797130047520305,-1.7083778602890038,-1.4327007339340463,-5.3797130047520305,-1.1617059683339674,-0.21014784357613675,-0.5017039098168335,-0.6245192405756459,0022-10-11 18:44:08,9.0,3100.0,-50.0,650.0,1000.0,1500.0,16.0,21.0,50.0,90.4761904761905,76.0,2.0,B,-0.471261044695436
P001,T02,8.0,2.83,3.11,249.61,3.0,B,1.3428648031925547,1.413423028508143,5.523897945895664,-1.3428648031925547,-1.413423028508143,-5.523897945895664,-0.1891751445018815,-0.10306042791451109,-0.7589319484837082,-0.3503891736333669,0022-10-17 11:34:48,7.0,4190.0,-50.0,650.0,1090.0,2500.0,15.0,22.0,66.6666666666667,95.4545454545455,127.0,3.0,B,0.0211749616592646
P001,T03,6.0,1.45,3.54,158.9,4.0,B,0.8960880245566357,1.5129270120532565,5.074548619839908,-0.8960880245566357,-1.5129270120532565,-5.074548619839908,0.9995763382698594,-0.6558038281516204,0.042713805232422776,0.12882877178355392,0022-10-18 08:58:55,5.0,4200.0,-100.0,750.0,1050.0,2500.0,14.0,22.0,64.2857142857143,90.9090909090909,129.0,4.0,B,0.0256927231854545
P001,T04,5.0,2.01,3.19,153.88,5.0,B,1.1019400787607843,1.4327007339340463,5.042650623528266,-1.1019400787607843,-1.4327007339340463,-5.042650623528266,0.45186001466432246,-0.21014784357613675,0.09962029604600352,0.11377748904472974,0022-10-25 16:44:32,8.0,4350.0,-50.0,850.0,1050.0,2500.0,10.0,20.0,100.0,95.0,132.0,5.0,B,0.0934591460783031
P001,T05,2.0,1.33,3.27,198.33,6.0,B,0.8458682675776092,1.451613827240533,5.2949617427346745,-0.8458682675776092,-1.451613827240533,-5.2949617427346745,1.1331974516041832,-0.3152098434154645,-0.35050642185205444,0.15582706211222144,0022-10-26 08:52:09,6.0,5180.0,0.0,600.0,1080.0,3500.0,12.0,22.0,75.0,95.4545454545455,169.0,6.0,B,0.468433352752066
P001,T06,2.0,2.02,3.15,198.54,7.0,B,1.1052568313867783,1.423108334242607,5.296014717485361,-1.1052568313867783,-1.423108334242607,-5.296014717485361,0.4430350380973319,-0.1568621817063718,-0.35238494417024235,-0.02207069592642741,0022-11-02 12:53:19,9.0,5620.0,0.0,800.0,1070.0,3750.0,14.0,21.0,78.5714285714286,95.2380952380952,191.0,7.0,B,0.667214859904422
P001,T07,7.0,1.58,3.22,123.29,8.0,B,0.9477893989335261,1.4398351280479207,4.82261754475742,-0.9477893989335261,-1.4398351280479207,-4.82261754475742,0.8620130440460352,-0.2497793148060965,0.4921625188685427,0.3681320827028271,0022-11-03 12:20:32,9.0,6410.0,-50.0,1150.0,1060.0,4250.0,15.0,21.0,93.3333333333333,95.2380952380952,212.0,8.0,B,1.02411802047342
